Cavité :	Amalgame
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Chaine P36																723773.3	5021873.8	1641.7			

Galerie :	Pulpite vers Lac
Date du lever : 	08/05/2012	Déclinaison = 	-1.03 °
Operateurs :	F. de Felix	Pascal
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Chaine P36	>< 20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			
Date du lever : 	26/09/2010	Déclinaison = 	-0.81 °
Operateurs :	O.Testa	O Testa
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-81	   20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			

Date du lever : 	06/08/2011	Déclinaison = 	0.87 °
Operateurs :	E. Vitte	P. Orchampt
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	23-4	   23-5	 151.0 °	  46.7 °		3.35					1.9	0.7	1.4	  46.7 °	2.44	3.35	2.30	723783.0	5021899.0	1726.1	50.1		[3.35 151.3 46.8][2.13 307.2 -0.3][0.97 10.8 0.8][0.73 202.8 5.9][1.26 239.5 9.1][1.69 190.9 -77.3][7.41 226.9 82.9]

	23-5	   23-6	 233.5 °	  52.3 °		2.66				0.6		3.3	1.6	  52.3 °	2.10	2.66	1.63	723781.8	5021898.0	1728.2	51.7		[0.26 212.6 0.3][1.64 138.9 -1.7][1.06 150.6 -1.6][0.58 104.0 2.4][1.56 61.7 -3.9][2.28 85.6 -84.8][5.62 166.0 80.4]

	23-6	   23-7	 152.8 °	  38.9 °		2.39				0.2	0.8	2.1	1.5	  38.9 °	1.50	2.39	1.86	723782.6	5021896.4	1729.7	53.6		[1.47 206.8 3.6][1.04 233.2 3.8][0.34 149.7 8.4][1.76 225.4 -65.6][4.14 188.1 74.6]

	23-7	   23-8	 210.2 °	  50.0 °		2.32				0.8		1.8	2.9	  50.0 °	1.78	2.32	1.49	723781.9	5021895.0	1731.5	55.1		[0.80 70.5 -4.8][0.46 96.6 -5.9][1.07 141.1 -3.6][1.11 126.3 -4.4][3.30 116.0 -73.4][2.69 117.5 73.5]

	23-8	   23-9	 133.1 °	  21.6 °		1.65					0.6	1.9	3.3	  21.6 °	0.61	1.65	1.53	723783.1	5021894.0	1732.1	56.6		[0.61 246.9 -3.0][1.57 192.1 -2.0][1.30 209.0 -0.3][3.29 189.0 -82.3][2.31 219.0 66.7]

	23-9	   23-10	 200.7 °	   4.5 °		4.61				0.7		2.6	2.4	   4.5 °	0.36	4.61	4.60	723781.5	5021889.7	1732.5	61.2		[0.58 191.0 -3.2][0.69 134.7 3.7][0.85 44.6 2.1][2.88 52.8 -79.0][2.76 77.6 88.2]

	23-10	   23-11	 210.3 °	  40.2 °		2.42				0.3		1.2	3.1	  40.2 °	1.56	2.42	1.85	723780.6	5021888.1	1734.0	63.0		[1.97 40.0 -1.6][0.43 180.8 1.8][3.64 306.0 -73.1][1.93 222.8 68.7]

	23-11	   23-12	 236.9 °	  20.9 °		1.23				0.2		1.4	3.0	  20.9 °	0.44	1.23	1.15	723779.7	5021887.4	1734.5	64.2		[1.52 128.6 74.5][2.99 236.9 -81.7][0.33 138.0 5.1]

	23-12	   23-13	 134.5 °	 -12.0 °		1.12				0.8	0.8	1.6	2.7	 -12.0 °	-0.23	1.12	1.10	723780.5	5021886.7	1734.2	65.3		[0.56 173.1 -0.8][0.89 107.6 15.2][0.59 32.6 4.5][2.73 48.7 -87.2][1.65 321.9 86.5][2.84 198.8 6.2][1.34 209.0 10.3][2.51 200.9 -27.9]

