Cavité :	Amalgame
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Chaine P36																723773.3	5021873.8	1641.7			

Galerie :	Pulpite vers Lac
Date du lever : 	08/05/2012	Déclinaison = 	-1.03 °
Operateurs :	F. de Felix	Pascal
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Chaine P36	>< 20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			
Date du lever : 	26/09/2010	Déclinaison = 	-0.81 °
Operateurs :	O.Testa	O Testa
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-81	   20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			

Date du lever : 	06/08/2011	Déclinaison = 	0.87 °
Operateurs :	E. Vitte	P. Orchampt
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Ma3	    -- -->  	 168.7 °	  -6.0 °		0.44								  -6.0 °	-0.05	0.44	0.44	723782.6	5021837.3	1746.5	134.1		

	Ma3	    -- -->  	 200.3 °	 -12.5 °		1.07								 -12.5 °	-0.23	1.07	1.04	723782.2	5021836.8	1746.3	134.7		

	Ma3	    -- -->  	 305.0 °	   6.2 °		0.29								   6.2 °	0.03	0.29	0.29	723782.3	5021837.9	1746.6	134.0		

	Ma3	   Ma4	 181.3 °	 -30.3 °		1.20					0.6	1.5	1.2	 -30.3 °	-0.61	1.20	1.04	723782.5	5021836.7	1746.0	134.7		

	Ma4	    -- -->  	 250.2 °	   4.5 °		0.60								   4.5 °	0.05	0.60	0.60	723782.0	5021836.5	1746.0	135.3		

	Ma4	    -- -->  	 134.1 °	   3.2 °		0.68								   3.2 °	0.04	0.68	0.68	723783.0	5021836.3	1746.0	135.4		

	Ma4	    -- -->  	 195.7 °	 -11.2 °		0.64								 -11.2 °	-0.12	0.64	0.63	723782.4	5021836.1	1745.8	135.3		

	Ma4	    -- -->  	 293.9 °	   5.1 °		0.72								   5.1 °	0.06	0.72	0.72	723781.9	5021837.0	1746.0	135.4		

	Ma4	    -- -->  	 145.4 °	 -85.3 °		1.25								 -85.3 °	-1.25	1.25	0.10	723782.6	5021836.7	1744.7	134.8		

	Ma4	    -- -->  	 243.9 °	  84.0 °		1.49								  84.0 °	1.48	1.49	0.16	723782.4	5021836.7	1747.4	134.9		

	Ma4	    -- -->  	 103.0 °	 -84.9 °		2.26								 -84.9 °	-2.25	2.26	0.20	723782.7	5021836.7	1743.7	134.9		

	Ma4	   Ma5	 172.0 °	 -35.5 °		2.66				0.4	0.3	0.4	0.5	 -35.5 °	-1.54	2.66	2.17	723782.8	5021834.6	1744.4	136.9		

	Ma5	    -- -->  	 135.7 °	  10.2 °		0.51								  10.2 °	0.09	0.51	0.50	723783.2	5021834.2	1744.5	137.4		

	Ma5	    -- -->  	 205.3 °	   6.3 °		0.88								   6.3 °	0.10	0.88	0.87	723782.4	5021833.8	1744.5	137.7		

	Ma5	    -- -->  	 138.1 °	 -79.0 °		0.46								 -79.0 °	-0.45	0.46	0.09	723782.9	5021834.5	1744.0	137.0		

	Ma5	    -- -->  	 323.5 °	  21.2 °		0.39								  21.2 °	0.14	0.39	0.36	723782.6	5021834.9	1744.6	137.2		

	Ma5	    -- -->  	  46.9 °	  11.0 °		0.45								  11.0 °	0.09	0.45	0.44	723783.1	5021834.9	1744.5	137.3		

	Ma5	    -- -->  	 230.7 °	  46.9 °		0.57								  46.9 °	0.42	0.57	0.39	723782.5	5021834.3	1744.8	137.3		

	Ma5	   Ma6	 210.0 °	  59.4 °		1.43				0.3	0.3	3.1	1.5	  59.4 °	1.23	1.43	0.73	723782.4	5021834.0	1745.6	137.6		

	Ma6	    -- -->  	 358.6 °	 -76.8 °		0.15								 -76.8 °	-0.15	0.15	0.03	723782.4	5021834.0	1745.5	137.6		

	Ma6	    -- -->  	 324.4 °	  -4.4 °		0.33								  -4.4 °	-0.03	0.33	0.33	723782.2	5021834.2	1745.6	137.9		

	Ma6	    -- -->  	 357.6 °	   6.5 °		1.39								   6.5 °	0.16	1.39	1.38	723782.4	5021835.3	1745.8	139.0		

	Ma6	    -- -->  	  54.8 °	  -1.6 °		0.58								  -1.6 °	-0.02	0.58	0.58	723782.9	5021834.3	1745.6	138.2		

	Ma6	    -- -->  	 130.5 °	  13.5 °		0.28								  13.5 °	0.07	0.28	0.27	723782.6	5021833.8	1745.7	137.9		

	Ma6	    -- -->  	 245.1 °	  12.7 °		0.89								  12.7 °	0.20	0.89	0.87	723781.6	5021833.6	1745.8	138.5		

	Ma6	    -- -->  	 289.3 °	  82.4 °		3.16								  82.4 °	3.13	3.16	0.42	723782.0	5021834.1	1748.8	138.0		

	Ma6	    -- -->  	 107.7 °	 -81.0 °		1.50								 -81.0 °	-1.48	1.50	0.23	723782.7	5021833.9	1744.2	137.8		

	Ma6	   Ma7	 274.8 °	  32.5 °		2.33				0.4		1.9	2.5	  32.5 °	1.25	2.33	1.97	723780.5	5021834.2	1746.9	139.6		

	Ma7	    -- -->  	 172.2 °	  -6.6 °		0.37								  -6.6 °	-0.04	0.37	0.37	723780.5	5021833.8	1746.9	139.9		

	Ma7	    -- -->  	 208.0 °	  -2.2 °		0.44								  -2.2 °	-0.02	0.44	0.44	723780.3	5021833.8	1746.9	140.0		

	Ma7	    -- -->  	 249.0 °	  -5.5 °		0.62								  -5.5 °	-0.06	0.62	0.62	723779.9	5021833.9	1746.8	140.2		

	Ma7	    -- -->  	  61.4 °	   5.8 °		0.47								   5.8 °	0.05	0.47	0.47	723780.9	5021834.4	1746.9	140.0		

	Ma7	    -- -->  	 133.4 °	   1.1 °		0.55								   1.1 °	0.01	0.55	0.55	723780.9	5021833.8	1746.9	140.1		

	Ma7	    -- -->  	 179.3 °	  84.5 °		1.92								  84.5 °	1.91	1.92	0.18	723780.5	5021834.0	1748.8	139.7		

	Ma7	    -- -->  	 329.5 °	 -86.3 °		2.52								 -86.3 °	-2.51	2.52	0.16	723780.4	5021834.3	1744.4	139.7		

	Ma7	   Ma8	 225.5 °	   9.1 °		1.57				0.4		0.7	2.6	   9.1 °	0.25	1.57	1.55	723779.4	5021833.1	1747.1	141.1		

	Ma8	    -- -->  	  86.2 °	  -8.6 °		0.39								  -8.6 °	-0.06	0.39	0.39	723779.7	5021833.1	1747.1	141.5		

	Ma8	    -- -->  	  62.9 °	  -9.5 °		0.46								  -9.5 °	-0.08	0.46	0.45	723779.8	5021833.3	1747.1	141.6		

	Ma8	    -- -->  	  25.1 °	   6.2 °		0.50								   6.2 °	0.05	0.50	0.50	723779.6	5021833.5	1747.2	141.6		

	Ma8	    -- -->  	 140.7 °	 -12.1 °		0.60								 -12.1 °	-0.13	0.60	0.59	723779.7	5021832.6	1747.0	141.7		

	Ma8	    -- -->  	  79.4 °	 -82.0 °		2.61								 -82.0 °	-2.58	2.61	0.36	723779.7	5021833.1	1744.6	141.5		

	Ma8	    -- -->  	  86.6 °	  78.2 °		0.71								  78.2 °	0.69	0.71	0.15	723779.5	5021833.1	1747.8	141.3		

	Ma8	    -- -->  	 127.8 °	  -9.6 °		0.84								  -9.6 °	-0.14	0.84	0.83	723780.0	5021832.6	1747.0	141.9		

	Ma8	    -- -->  	  88.9 °	 -14.6 °		0.22								 -14.6 °	-0.06	0.22	0.21	723779.6	5021833.1	1747.1	141.3		

	Ma8	   Ma9	 103.2 °	   6.6 °		1.98					0.6		0.2	   6.6 °	0.23	1.98	1.97	723781.3	5021832.6	1747.4	143.1		

	Ma9	    -- -->  	 192.4 °	  -0.5 °		0.43								  -0.5 °	-0.00	0.43	0.43	723781.2	5021832.2	1747.4	143.5		

	Ma9	    -- -->  	 220.4 °	  -3.5 °		0.83								  -3.5 °	-0.05	0.83	0.83	723780.7	5021832.0	1747.3	143.9		

	Ma9	    -- -->  	 265.0 °	  -4.6 °		0.56								  -4.6 °	-0.04	0.56	0.56	723780.7	5021832.6	1747.3	143.6		

	Ma9	    -- -->  	 246.7 °	  -9.5 °		1.28								  -9.5 °	-0.21	1.28	1.26	723780.1	5021832.1	1747.2	144.3		

	Ma9	    -- -->  	 317.6 °	  -0.6 °		0.54								  -0.6 °	-0.01	0.54	0.54	723780.9	5021833.0	1747.4	143.6		

	Ma9	    -- -->  	 223.1 °	 -13.2 °		0.83								 -13.2 °	-0.19	0.83	0.81	723780.7	5021832.0	1747.2	143.9		

	Ma9	    -- -->  	 231.5 °	  -9.0 °		1.04								  -9.0 °	-0.16	1.04	1.03	723780.5	5021832.0	1747.2	144.1		

	Ma9	   Ma10	 235.5 °	   9.7 °		1.57				0.3		2.0	2.4	   9.7 °	0.26	1.57	1.55	723780.0	5021831.7	1747.6	144.6		

	Ma10	    -- -->  	  95.0 °	  -6.2 °		0.31								  -6.2 °	-0.03	0.31	0.31	723780.3	5021831.7	1747.6	144.9		

	Ma10	    -- -->  	  86.8 °	  -0.7 °		0.35								  -0.7 °	-0.00	0.35	0.35	723780.3	5021831.8	1747.6	145.0		

	Ma10	    -- -->  	 138.1 °	  -5.4 °		0.61								  -5.4 °	-0.06	0.61	0.61	723780.4	5021831.3	1747.6	145.2		

	Ma10	    -- -->  	 175.4 °	  -1.6 °		0.58								  -1.6 °	-0.02	0.58	0.58	723780.0	5021831.2	1747.6	145.2		

	Ma10	    -- -->  	 162.3 °	  -0.9 °		1.23								  -0.9 °	-0.02	1.23	1.23	723780.3	5021830.6	1747.6	145.9		

	Ma10	    -- -->  	  24.1 °	  10.6 °		0.43								  10.6 °	0.08	0.43	0.42	723780.2	5021832.1	1747.7	145.0		

	Ma10	    -- -->  	 228.9 °	 -77.6 °		2.48								 -77.6 °	-2.42	2.48	0.53	723779.6	5021831.4	1745.2	145.2		

	Ma10	    -- -->  	 109.5 °	  74.7 °		2.06								  74.7 °	1.99	2.06	0.54	723780.5	5021831.6	1749.6	145.2		

	Ma10	   Ma11	 147.4 °	  15.5 °		1.69				0.3		0.1	2.9	  15.5 °	0.45	1.69	1.63	723780.8	5021830.4	1748.1	146.2		

	Ma11	    -- -->  	   9.8 °	  11.4 °		0.29								  11.4 °	0.06	0.29	0.28	723780.9	5021830.6	1748.2	146.5		

	Ma11	    -- -->  	 299.1 °	  17.3 °		0.37								  17.3 °	0.11	0.37	0.35	723780.5	5021830.5	1748.2	146.6		

	Ma11	    -- -->  	  54.4 °	   2.8 °		0.73								   2.8 °	0.04	0.73	0.73	723781.4	5021830.8	1748.1	147.0		

	Ma11	    -- -->  	  96.8 °	  -1.9 °		0.68								  -1.9 °	-0.02	0.68	0.68	723781.5	5021830.3	1748.1	146.9		

	Ma11	    -- -->  	  79.5 °	  -7.3 °		1.60								  -7.3 °	-0.20	1.60	1.59	723782.4	5021830.6	1747.9	147.8		

	Ma11	    -- -->  	  24.0 °	 -70.6 °		3.10								 -70.6 °	-2.92	3.10	1.03	723781.3	5021831.3	1745.2	147.3		

	Ma11	   Ma12	  75.0 °	  -6.5 °		1.62					0.4	0.1	0.2	  -6.5 °	-0.18	1.62	1.61	723782.4	5021830.8	1747.9	147.9		

	Ma12	    -- -->  	 301.6 °	   6.2 °		0.63								   6.2 °	0.07	0.63	0.63	723781.9	5021831.1	1748.0	148.5		

	Ma12	    -- -->  	 139.1 °	  -4.2 °		0.48								  -4.2 °	-0.04	0.48	0.48	723782.7	5021830.4	1747.9	148.3		

	Ma12	    -- -->  	 166.0 °	 -10.0 °		0.82								 -10.0 °	-0.14	0.82	0.81	723782.6	5021830.0	1747.8	148.7		

	Ma12	    -- -->  	 227.5 °	  -7.8 °		0.44								  -7.8 °	-0.06	0.44	0.44	723782.1	5021830.5	1747.9	148.3		

	Ma12	    -- -->  	 247.8 °	  -4.3 °		0.97								  -4.3 °	-0.07	0.97	0.97	723781.5	5021830.4	1747.8	148.8		

	Ma12	    -- -->  	 183.9 °	 -13.6 °		1.03								 -13.6 °	-0.24	1.03	1.00	723782.3	5021829.8	1747.7	148.9		

	Ma12	   Ma13	 199.0 °	 -11.4 °		1.80				0.3		2.4	2.1	 -11.4 °	-0.36	1.80	1.76	723781.8	5021829.1	1747.6	149.6		 marqu� vernis 2m au dessus de l'eau

	Ma13	    -- -->  	 345.8 °	  10.3 °		0.39								  10.3 °	0.07	0.39	0.38	723781.7	5021829.5	1747.6	150.0		

	Ma13	    -- -->  	   2.8 °	  10.1 °		1.03								  10.1 °	0.18	1.03	1.01	723781.9	5021830.1	1747.7	150.6		

	Ma13	    -- -->  	  61.4 °	  -1.5 °		0.34								  -1.5 °	-0.01	0.34	0.34	723782.1	5021829.3	1747.5	150.0		

	Ma13	    -- -->  	 125.1 °	  83.1 °		2.43								  83.1 °	2.41	2.43	0.29	723782.1	5021828.9	1750.0	149.9		

	Ma13	    -- -->  	 158.9 °	 -86.8 °		2.11								 -86.8 °	-2.11	2.11	0.12	723781.9	5021829.0	1745.4	149.7		

	Ma13	    -- -->  	 138.5 °	   1.8 °		0.77								   1.8 °	0.02	0.77	0.77	723782.3	5021828.5	1747.6	150.4		

	Ma13	    -- -->  	 107.4 °	  15.8 °		0.45								  15.8 °	0.12	0.45	0.43	723782.2	5021829.0	1747.7	150.1		

	Ma13	   Ma14	 142.2 °	  34.2 °		2.73					0.5	0.0	0.2	  34.2 °	1.53	2.73	2.26	723783.2	5021827.3	1749.1	151.9		

	Ma14	    -- -->  	 267.4 °	 -13.5 °		0.50								 -13.5 °	-0.12	0.50	0.49	723782.7	5021827.3	1749.0	152.4		

	Ma14	    -- -->  	 301.5 °	 -12.4 °		0.74								 -12.4 °	-0.16	0.74	0.72	723782.6	5021827.7	1748.9	152.6		

	Ma14	    -- -->  	 285.5 °	 -22.1 °		0.49								 -22.1 °	-0.18	0.49	0.45	723782.7	5021827.4	1748.9	152.3		

	Ma14	    -- -->  	 212.5 °	  -1.0 °		0.50								  -1.0 °	-0.01	0.50	0.50	723782.9	5021826.9	1749.1	152.4		

	Ma14	    -- -->  	 227.8 °	   2.0 °		1.09								   2.0 °	0.04	1.09	1.09	723782.4	5021826.6	1749.1	153.0		

	Ma14	    -- -->  	 250.0 °	  -1.3 °		0.63								  -1.3 °	-0.01	0.63	0.63	723782.6	5021827.1	1749.1	152.5		

	Ma14	    -- -->  	 311.0 °	  -7.0 °		0.48								  -7.0 °	-0.06	0.48	0.48	723782.8	5021827.6	1749.0	152.4		

	Ma14	    -- -->  	 327.6 °	  -6.7 °		0.88								  -6.7 °	-0.10	0.88	0.87	723782.7	5021828.0	1749.0	152.8		

	Ma14	   Ma15	 234.9 °	  -2.3 °		2.22				0.3	0.7	2.0	2.7	  -2.3 °	-0.09	2.22	2.22	723781.3	5021826.0	1749.0	154.1		

	Ma15	    -- -->  	 298.1 °	   4.9 °		0.74								   4.9 °	0.06	0.74	0.74	723780.7	5021826.4	1749.1	154.8		

	Ma15	    -- -->  	 255.7 °	  -0.7 °		0.73								  -0.7 °	-0.01	0.73	0.73	723780.6	5021825.9	1749.0	154.8		

	Ma15	    -- -->  	 230.7 °	  -5.1 °		0.47								  -5.1 °	-0.04	0.47	0.47	723781.0	5021825.8	1749.0	154.6		

	Ma15	    -- -->  	 161.1 °	  -8.8 °		0.40								  -8.8 °	-0.06	0.40	0.40	723781.5	5021825.7	1748.9	154.5		

	Ma15	    -- -->  	  60.8 °	   9.1 °		0.76								   9.1 °	0.12	0.76	0.75	723782.0	5021826.4	1749.1	154.9		

	Ma15	    -- -->  	  13.0 °	   6.0 °		0.51								   6.0 °	0.05	0.51	0.51	723781.5	5021826.5	1749.1	154.6		

	Ma15	    -- -->  	  30.3 °	  11.1 °		0.85								  11.1 °	0.16	0.85	0.83	723781.8	5021826.8	1749.2	154.9		

	Ma15	    -- -->  	 348.8 °	  13.5 °		0.58								  13.5 °	0.14	0.58	0.56	723781.2	5021826.6	1749.1	154.7		

	Ma15	    -- -->  	 255.1 °	  80.7 °		2.01								  80.7 °	1.98	2.01	0.32	723781.0	5021826.0	1751.0	154.4		

	Ma15	    -- -->  	 227.2 °	 -86.1 °		2.66								 -86.1 °	-2.65	2.66	0.18	723781.2	5021825.9	1746.3	154.3		

	Ma15	   Ma16	 200.3 °	   1.9 °		1.13				0.3		0.1	0.1	   1.9 °	0.04	1.13	1.13	723780.9	5021825.0	1749.0	155.2		

	Ma16	    -- -->  	  53.4 °	  -0.7 °		0.34								  -0.7 °	-0.00	0.34	0.34	723781.2	5021825.2	1749.0	155.6		

	Ma16	    -- -->  	 359.5 °	  -1.4 °		0.56								  -1.4 °	-0.01	0.56	0.56	723780.9	5021825.6	1749.0	155.8		

	Ma16	    -- -->  	 113.2 °	   6.7 °		0.76								   6.7 °	0.09	0.76	0.75	723781.6	5021824.7	1749.1	156.0		

	Ma16	    -- -->  	 130.2 °	  -5.6 °		1.31								  -5.6 °	-0.13	1.31	1.30	723781.9	5021824.1	1748.9	156.5		

	Ma16	   Ma17	 143.9 °	  -3.2 °		1.99					0.6	2.6	2.0	  -3.2 °	-0.11	1.99	1.99	723782.1	5021823.4	1748.9	157.2		

	Ma17	    -- -->  	 281.5 °	  -7.0 °		0.63								  -7.0 °	-0.08	0.63	0.63	723781.5	5021823.5	1748.8	157.8		

	Ma17	    -- -->  	 307.8 °	   6.5 °		0.65								   6.5 °	0.07	0.65	0.65	723781.6	5021823.8	1749.0	157.9		

	Ma17	    -- -->  	 253.1 °	 -10.3 °		0.80								 -10.3 °	-0.14	0.80	0.79	723781.3	5021823.2	1748.8	158.0		

	Ma17	    -- -->  	 209.5 °	  -4.3 °		0.57								  -4.3 °	-0.04	0.57	0.57	723781.8	5021822.9	1748.9	157.8		

	Ma17	    -- -->  	 228.1 °	 -16.1 °		1.55								 -16.1 °	-0.43	1.55	1.49	723781.0	5021822.4	1748.5	158.7		

	Ma17	    -- -->  	 117.8 °	 -83.9 °		2.00								 -83.9 °	-1.99	2.00	0.21	723782.3	5021823.3	1746.9	157.4		

	Ma17	    -- -->  	 229.8 °	  83.6 °		2.57								  83.6 °	2.55	2.57	0.29	723781.9	5021823.2	1751.5	157.5		

	Ma17	   Ma18	 232.0 °	  24.6 °		2.49				0.8			2.8	  24.6 °	1.04	2.49	2.26	723780.3	5021822.0	1750.0	159.5		

	Ma18	    -- -->  	  80.6 °	 -11.9 °		0.89								 -11.9 °	-0.18	0.89	0.87	723781.2	5021822.1	1749.8	160.4		

	Ma18	    -- -->  	 116.9 °	 -20.9 °		0.53								 -20.9 °	-0.19	0.53	0.50	723780.7	5021821.8	1749.8	160.0		

	Ma18	    -- -->  	 179.5 °	  -9.5 °		0.58								  -9.5 °	-0.10	0.58	0.57	723780.3	5021821.4	1749.9	160.1		

	Ma18	    -- -->  	 238.2 °	 -79.1 °		2.81								 -79.1 °	-2.76	2.81	0.53	723779.8	5021821.7	1747.2	160.0		

	Ma18	    -- -->  	 144.5 °	 -17.3 °		1.15								 -17.3 °	-0.34	1.15	1.10	723780.9	5021821.1	1749.6	160.6		

	Ma18	   Ma19	 142.5 °	 -17.9 °		1.15				0.6		2.8	0.0	 -17.9 °	-0.35	1.15	1.09	723781.0	5021821.1	1749.6	160.6		

	Ma19	    -- -->  	 345.2 °	  -2.1 °		0.60								  -2.1 °	-0.02	0.60	0.60	723780.8	5021821.7	1749.6	161.2		

	Ma19	    -- -->  	  20.4 °	  -1.5 °		0.64								  -1.5 °	-0.02	0.64	0.64	723781.2	5021821.7	1749.6	161.2		

	Ma19	    -- -->  	  37.6 °	   6.0 °		0.87								   6.0 °	0.09	0.87	0.87	723781.5	5021821.8	1749.7	161.4		

	Ma19	    -- -->  	  57.4 °	   4.1 °		0.63								   4.1 °	0.05	0.63	0.63	723781.5	5021821.5	1749.7	161.2		

	Ma19	    -- -->  	  73.8 °	  82.6 °		2.81								  82.6 °	2.79	2.81	0.36	723781.3	5021821.2	1752.4	160.9		

	Ma19	   Ma20	  52.5 °	  34.8 °		1.62					0.4	0.0	0.0	  34.8 °	0.92	1.62	1.33	723782.0	5021821.9	1750.5	161.9		

	Ma20	    -- -->  	 192.0 °	   1.8 °		0.41								   1.8 °	0.01	0.41	0.41	723781.9	5021821.5	1750.5	162.3		

	Ma20	    -- -->  	 109.7 °	   1.4 °		0.53								   1.4 °	0.01	0.53	0.53	723782.5	5021821.7	1750.5	162.4		

	Ma20	    -- -->  	 135.9 °	  -2.4 °		1.01								  -2.4 °	-0.04	1.01	1.01	723782.7	5021821.2	1750.5	162.9		

	Ma20	    -- -->  	 154.8 °	  -2.9 °		0.55								  -2.9 °	-0.03	0.55	0.55	723782.2	5021821.4	1750.5	162.5		

	Ma20	    -- -->  	 242.2 °	  -5.0 °		0.49								  -5.0 °	-0.04	0.49	0.49	723781.6	5021821.7	1750.5	162.4		

	Ma20	   Ma21	 147.3 °	  -4.7 °		1.33					0.7	0.1	0.1	  -4.7 °	-0.11	1.33	1.33	723782.7	5021820.8	1750.4	163.2		

	Ma21	    -- -->  	 245.8 °	  -5.1 °		0.84								  -5.1 °	-0.07	0.84	0.84	723782.0	5021820.5	1750.3	164.1		

	Ma21	    -- -->  	 206.5 °	  -2.1 °		0.62								  -2.1 °	-0.02	0.62	0.62	723782.4	5021820.2	1750.4	163.8		

	Ma21	    -- -->  	   3.3 °	   9.5 °		0.32								   9.5 °	0.05	0.32	0.32	723782.7	5021821.1	1750.5	163.5		

	Ma21	   Ma22	 221.3 °	  21.5 °		1.77				0.4		0.0	0.1	  21.5 °	0.65	1.77	1.65	723781.6	5021819.6	1751.1	164.9		

	Ma22	    -- -->  	 118.3 °	 -12.8 °		0.44								 -12.8 °	-0.10	0.44	0.43	723782.0	5021819.4	1751.0	165.3		

	Ma22	    -- -->  	  55.0 °	  -6.4 °		0.85								  -6.4 °	-0.09	0.85	0.84	723782.3	5021820.0	1751.0	165.7		

	Ma22	    -- -->  	 174.8 °	   1.9 °		0.72								   1.9 °	0.02	0.72	0.72	723781.7	5021818.9	1751.1	165.6		

	Ma22	   Ma23	 152.7 °	 -11.6 °		1.00				0.4		2.3	2.3	 -11.6 °	-0.20	1.00	0.98	723782.1	5021818.7	1750.9	165.9		

	Ma23	    -- -->  	 357.6 °	   6.7 °		0.39								   6.7 °	0.05	0.39	0.39	723782.0	5021819.1	1750.9	166.2		

	Ma23	    -- -->  	  43.5 °	   1.4 °		0.36								   1.4 °	0.01	0.36	0.36	723782.3	5021819.0	1750.9	166.2		

	Ma23	    -- -->  	  88.5 °	   8.0 °		0.68								   8.0 °	0.09	0.68	0.67	723782.7	5021818.7	1751.0	166.5		

	Ma23	    -- -->  	 120.9 °	  -1.2 °		0.96								  -1.2 °	-0.02	0.96	0.96	723782.9	5021818.2	1750.9	166.8		

	Ma23	    -- -->  	 128.2 °	  -4.7 °		0.67								  -4.7 °	-0.05	0.67	0.67	723782.6	5021818.3	1750.8	166.5		

	Ma23	    -- -->  	  61.8 °	 -80.8 °		2.34								 -80.8 °	-2.31	2.34	0.37	723782.4	5021818.9	1748.6	166.2		

	Ma23	    -- -->  	 116.6 °	  84.5 °		2.27								  84.5 °	2.26	2.27	0.22	723782.3	5021818.6	1753.1	166.1		

	Ma23	   Ma24	 111.4 °	  -2.9 °		1.94					0.4	0.1	2.3	  -2.9 °	-0.10	1.94	1.94	723783.9	5021818.0	1750.8	167.8		 marqu� vernis � gauche

	Ma24	    -- -->  	 265.4 °	 -11.8 °		0.45								 -11.8 °	-0.09	0.45	0.44	723783.4	5021817.9	1750.7	168.2		

	Ma24	    -- -->  	 288.6 °	  -1.5 °		0.56								  -1.5 °	-0.01	0.56	0.56	723783.3	5021818.2	1750.8	168.4		

	Ma24	    -- -->  	 333.4 °	  14.4 °		0.37								  14.4 °	0.09	0.37	0.36	723783.7	5021818.3	1750.9	168.2		

	Ma24	    -- -->  	 206.3 °	 -19.4 °		0.72								 -19.4 °	-0.24	0.72	0.68	723783.5	5021817.4	1750.5	168.5		

	Ma24	    -- -->  	 253.4 °	 -18.6 °		0.87								 -18.6 °	-0.28	0.87	0.82	723783.1	5021817.7	1750.5	168.6		

	Ma24	    -- -->  	  81.9 °	 -82.2 °		2.29								 -82.2 °	-2.27	2.29	0.31	723784.2	5021818.0	1748.5	168.1		

	Ma24	   Ma25	 253.1 °	 -20.5 °		2.48				0.6			0.1	 -20.5 °	-0.87	2.48	2.32	723781.6	5021817.3	1749.9	170.1		

	Ma25	    -- -->  	  91.7 °	  -4.7 °		0.61								  -4.7 °	-0.05	0.61	0.61	723782.2	5021817.3	1749.9	170.7		

	Ma25	    -- -->  	 107.4 °	  -1.7 °		1.13								  -1.7 °	-0.03	1.13	1.13	723782.7	5021817.0	1749.9	171.2		

	Ma25	    -- -->  	 122.2 °	  -5.6 °		0.93								  -5.6 °	-0.09	0.93	0.93	723782.4	5021816.8	1749.8	171.0		

	Ma25	    -- -->  	 161.0 °	 -11.2 °		0.35								 -11.2 °	-0.07	0.35	0.34	723781.7	5021817.0	1749.8	170.5		

	Ma25	    -- -->  	 120.5 °	  -6.3 °		1.38								  -6.3 °	-0.15	1.38	1.37	723782.8	5021816.6	1749.8	171.5		

	Ma25	   Ma26	 117.9 °	  -1.2 °		1.38					0.6		0.1	  -1.2 °	-0.03	1.38	1.38	723782.8	5021816.7	1749.9	171.5		

	Ma26	    -- -->  	 276.5 °	  -5.8 °		0.35								  -5.8 °	-0.04	0.35	0.35	723782.5	5021816.7	1749.8	171.8		

	Ma26	    -- -->  	 229.3 °	  -2.8 °		0.65								  -2.8 °	-0.03	0.65	0.65	723782.3	5021816.2	1749.8	172.1		

	Ma26	    -- -->  	 186.0 °	  -7.7 °		1.00								  -7.7 °	-0.13	1.00	0.99	723782.7	5021815.7	1749.7	172.5		

	Ma26	   Ma27	 201.2 °	  14.7 °		1.92				0.3		0.0		  14.7 °	0.49	1.92	1.86	723782.1	5021814.9	1750.4	173.4		

	Ma27	    -- -->  	  72.9 °	   1.1 °		0.30								   1.1 °	0.01	0.30	0.30	723782.4	5021815.0	1750.4	173.7		

	Ma27	    -- -->  	 110.0 °	   3.3 °		0.63								   3.3 °	0.04	0.63	0.63	723782.7	5021814.7	1750.4	174.0		

	Ma27	   Ma28	  85.3 °	  -4.6 °		1.70				0.3		0.1	0.1	  -4.6 °	-0.14	1.70	1.69	723783.8	5021815.1	1750.2	175.0		

	Ma28	    -- -->  	  86.2 °	  -4.7 °		1.70								  -4.7 °	-0.14	1.70	1.69	723785.5	5021815.1	1750.1	176.7		

	Ma28	    -- -->  	 318.9 °	  13.5 °		0.34								  13.5 °	0.08	0.34	0.33	723783.6	5021815.3	1750.3	175.4		

	Ma28	    -- -->  	  36.3 °	   3.0 °		0.68								   3.0 °	0.04	0.68	0.68	723784.2	5021815.6	1750.3	175.7		

	Ma28	   Ma29	  55.9 °	  23.6 °		0.72					0.2		0.1	  23.6 °	0.29	0.72	0.66	723784.4	5021815.4	1750.5	175.7		

	Ma29	    -- -->  	 184.4 °	 -20.9 °		0.20								 -20.9 °	-0.07	0.20	0.19	723784.4	5021815.2	1750.4	175.9		

	Ma29	   Ma30	 144.8 °	   2.7 °		0.83								   2.7 °	0.04	0.83	0.83	723784.9	5021814.7	1750.6	176.5		

