Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a7	    -- -->  	 109.1 °	   2.7 °		0.47								   2.7 °	0.02	0.47	0.47	724138.8	5021892.9	1888.2	21.2		

	8a7	    -- -->  	 284.1 °	 -12.4 °		2.61								 -12.4 °	-0.56	2.61	2.55	724135.9	5021893.6	1887.6	23.3		

	8a7	    -- -->  	 327.3 °	  69.5 °		9.12								  69.5 °	8.54	9.12	3.20	724136.6	5021895.7	1896.7	24.0		

	8a7	    -- -->  	  60.3 °	 -88.8 °		1.20								 -88.8 °	-1.20	1.20	0.02	724138.4	5021893.1	1887.0	20.8		

	8a7	    -- -->  	 307.6 °	   6.5 °		3.34								   6.5 °	0.38	3.34	3.32	724135.7	5021895.0	1888.6	24.1		

	8a7	    -- -->  	 343.2 °	  18.4 °		4.03								  18.4 °	1.28	4.03	3.82	724137.2	5021896.7	1889.5	24.6		

	8a7	   8a8	 230.3 °	 -19.0 °		2.59					4.4	0.5	8.9	 -19.0 °	-0.84	2.59	2.45	724136.5	5021891.5	1887.4	23.2		

	8a8	    -- -->  	 246.5 °	  -6.5 °		2.29								  -6.5 °	-0.26	2.29	2.27	724134.4	5021890.5	1887.1	25.5		

	8a8	    -- -->  	 343.6 °	  -8.2 °		1.82								  -8.2 °	-0.26	1.82	1.80	724136.0	5021893.2	1887.1	25.0		

	8a8	    -- -->  	 309.9 °	  78.5 °		0.52								  78.5 °	0.51	0.52	0.10	724136.4	5021891.5	1887.9	23.3		

	8a8	    -- -->  	 179.1 °	 -85.7 °		8.90								 -85.7 °	-8.88	8.90	0.67	724136.5	5021890.8	1878.5	23.9		

	8a8	    -- -->  	 289.4 °	 -17.2 °		4.83								 -17.2 °	-1.43	4.83	4.62	724132.1	5021892.9	1885.9	27.8		

	8a8	    -- -->  	 306.2 °	 -17.3 °		3.96								 -17.3 °	-1.17	3.96	3.78	724133.4	5021893.6	1886.2	27.0		

	8a8	   8a9	 122.5 °	 -73.9 °		16.64					1.2	7.2	0.9	 -73.9 °	-15.99	16.64	4.61	724140.4	5021889.1	1871.4	27.8		

	8a9	    -- -->  	 124.2 °	   4.9 °		1.11								   4.9 °	0.10	1.11	1.11	724141.4	5021888.5	1871.5	28.9		

	8a9	    -- -->  	 266.7 °	  -0.1 °		1.21								  -0.1 °	-0.00	1.21	1.21	724139.2	5021889.0	1871.4	29.0		

